Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2/1/07,0.19,32.6,37.7,42.9,31.6,0.19,4.42
2/2/07,0,35.8,41.1,46.4,36.5,0.48,2.93
2/3/07,0,21.6,31.8,42,26.8,0.23,3.87
2/4/07,0,21.2,36.9,52.6,26.7,0.07,9.28
2/5/07,0,30.7,47.4,64.1,35.3,0.28,13.07
2/6/07,0,31.1,48.3,65.6,35.9,0.09,14.29
2/7/07,0,33.8,51.3,68.7,45.1,0.14,14.62
2/8/07,0,52.4,62.9,73.4,54.3,0.67,15.32
2/9/07,0.01,40,52.9,65.9,46.3,0.2,5.61
2/10/07,0,37.3,41.4,45.4,34.8,0.51,2.7
2/11/07,0,31.7,38.8,46,30.4,0.44,4.8
2/12/07,0.01,39,46.7,54.4,37.3,2.11,6.77
2/13/07,1.22,51.6,56.8,62,55.1,0.22,4.08
2/14/07,0,33.5,41.9,50.3,33.3,1.34,3.5
2/15/07,0,29.7,34.2,38.8,24.3,1.11,3.65
2/16/07,0,19.6,28.8,37.9,20.9,0.53,3.36
2/17/07,0,19.1,33,46.9,20.5,0.47,7.87
2/18/07,0,28.8,44.1,59.3,23.6,0.71,12.98
2/19/07,0,27.9,43.9,59.9,26.7,0.57,13.5
2/20/07,0,36.1,51.2,66.2,49.1,0.85,11.03
2/21/07,0,58.2,62.3,66.4,59.1,0.17,4.87
2/22/07,0,42.7,61.7,80.7,43.8,0.17,29.11
2/23/07,0,43.7,61.3,78.8,46.2,0.17,25.89
2/24/07,0.07,50.3,61,71.8,55.2,0.13,11.99
2/25/07,0.46,44.5,58.8,73.1,39.4,0.67,22.16
2/26/07,0,36.5,51.8,67.1,30.7,0.64,17.88
2/27/07,0,36,57.9,79.8,36.1,0.84,27.96
2/28/07,0,40.4,60.5,80.6,48,0.17,25.95
3/1/07,0.02,60.3,67.1,73.8,63.5,0.41,9.27
3/2/07,0.01,35.9,52.8,69.7,35.5,0.44,17.11
3/3/07,0,32.4,50.8,69.2,28,0.56,19.91
3/4/07,0,27.1,44,60.9,22.1,0.64,14.69
3/5/07,0,26.1,41.5,56.9,19,0.37,13.14
3/6/07,0,26.6,47.2,67.7,25.4,0.37,19.6
3/7/07,0,33,51.8,70.5,33.5,0.43,20.01
3/8/07,0,36.1,54.1,72.2,43.9,0.1,17.37
3/9/07,0,40,56.8,73.7,45.9,0,18.14
3/10/07,0,43.1,59.4,75.7,53.9,0.02,17.62
3/11/07,0,52.6,65.4,78.1,58.6,0,14.09
3/12/07,0.03,53.1,66.5,79.9,55.7,0,22.8
3/13/07,0.23,57,65.4,73.9,61.4,0,10.44
3/14/07,0.75,58.1,67.2,76.2,60.6,0.3,13.17
3/15/07,0.78,53.3,63.5,73.6,57.4,0.16,11.5
3/16/07,0,53.7,66.2,78.6,56.6,0.24,18.41
3/17/07,0,38.2,54.4,70.7,43,0.3,17.09
3/18/07,0,37.9,54.8,71.6,41.9,0.17,18.78
3/19/07,0,54.7,64.6,74.5,55.9,1.32,14.03
3/20/07,0,59.4,68.5,77.6,57.7,0.51,17.71
3/21/07,0,59.8,69.7,79.5,59.4,0.56,19.44
3/22/07,0,56.8,68.6,80.3,59.7,0.06,18.16
3/23/07,0,58.1,69,80,60.2,0,18.6
3/24/07,0,58.9,69.6,80.3,60.2,0,18.23
3/25/07,0,62.8,71.7,80.6,64.1,0,15.33
3/26/07,0,61.6,70.2,78.7,63.6,0,14.11
3/27/07,0.65,59.3,68.9,78.5,60.1,0.08,17.5
3/28/07,0.02,59.8,70.8,81.8,64.8,0.01,17.06
3/29/07,0,64.8,73.8,82.9,64.7,0,18.4
3/30/07,0,62.3,72.6,82.9,63.8,0.14,19.23
3/31/07,0.66,62.1,69.8,77.6,62.7,0.01,14.92
4/1/07,0.12,57.9,64.3,70.7,58.8,0.58,9.39
4/2/07,0,52.9,67.1,81.3,52.9,0.33,25.29
4/3/07,0.13,53.7,68.6,83.5,66.1,0,17.28
4/4/07,0.11,67.3,75.3,83.4,67.9,0.72,15.1
4/5/07,0,47.9,58.7,69.6,41.6,2.57,16.92
4/6/07,0,47.6,57.9,68.2,36.9,2.96,17.11
4/7/07,0,41.9,53.6,65.3,33.5,4.12,13.64
4/8/07,0.26,33.3,38.1,43,28.9,0.2,5.7
4/9/07,0,35.4,44.6,53.8,31.7,0.38,9.4
4/10/07,0,45,55,65,41.9,1.53,12.31
4/11/07,0.07,52.1,65.9,79.6,60.5,0.14,17.48
4/12/07,0,42.1,60,78,42.3,0.64,26.19
4/13/07,0,43.9,61.6,79.2,40.2,1.23,27.29
4/14/07,0.51,57.5,65.9,74.3,60.1,0.65,11.12
4/15/07,0,36.4,48.2,60,40.8,0.23,5.35
4/16/07,0,36.6,53.6,70.7,39.6,0.08,18.53
4/17/07,0,39.8,56.7,73.6,46.3,0.37,18.41
4/18/07,0.22,48.5,60,71.5,54,0.01,12.3
4/19/07,0,47.3,57.6,67.8,53.6,0.05,7.7
4/20/07,0,47.8,63.1,78.5,55.2,0.17,18.95
4/21/07,0,50.6,65.4,80.2,53.7,0.19,20.76
4/22/07,0,51.3,66.6,81.9,55.5,0,23.34
4/23/07,0,61,70.4,79.7,62,0.15,16.51
4/24/07,0,64,70.9,77.9,66,0.1,11.91
4/25/07,0.51,61.7,69.1,76.4,65.8,0.8,9.24
4/26/07,0.14,48,61.9,75.7,57.5,0.17,10.83
4/27/07,0,49.2,61.7,74.2,50.9,0.11,15.92
4/28/07,0,51.3,64.7,78.2,53.4,0.15,20.31
4/29/07,0,54.4,70.5,86.7,56.8,0.12,29.75
4/30/07,0,54.7,70.9,87.1,55.7,0.72,31.33
5/1/07,0.03,57.5,71,84.6,61.7,0.57,21.34
5/2/07,1.34,63.8,70.7,77.6,64.1,0.33,11.02
5/3/07,0.68,62.6,72.7,82.8,65.3,0.41,16.7
5/4/07,0.5,62.5,69.2,76,63.7,0.28,8.64
5/5/07,0,67,77,87.1,71.6,0.01,16.99
5/6/07,0,73.4,80.1,86.8,70.9,2,18.26
5/7/07,0,71.5,80.3,89,70,1.01,21.6
5/8/07,0,68.7,78.9,89.1,69,0.5,23.72
5/9/07,0.02,66.5,76.5,86.5,67,0.67,20.26
5/10/07,0.69,64.5,73.7,82.8,66.8,0.44,14.31
5/11/07,0,62.3,72.6,82.9,62.2,0.54,20.82
5/12/07,0,61.1,71.9,82.7,63.9,0.14,17.75
5/13/07,0,62.5,75.2,87.9,64.3,0.62,26.64
5/14/07,0,63.7,75.8,88,66.3,0.03,24.72
5/15/07,0,64.4,77.3,90.1,65.7,0.78,28.31
5/16/07,0.06,64.4,76.6,88.8,65.7,0.25,25.09
5/17/07,0,51,63.2,75.4,57.2,0.67,12.64
5/18/07,0,50.8,64.9,79.1,50.3,0,22.86
5/19/07,0,49.7,65.1,80.4,49.1,0.64,24.63
5/20/07,0,50.2,65.6,81.1,50,0.39,24.94
5/21/07,0,53.1,67.8,82.5,56,0.5,25.21
5/22/07,0.08,63.5,72,80.5,65.4,0.22,14.43
5/23/07,0.6,65.4,68.8,72.2,65.2,0.85,4.64
5/24/07,0.43,64.9,76.4,87.8,68.1,0,22.02
5/25/07,0,65,75.6,86.3,67.4,0.01,21.46
5/26/07,0.02,66.7,75.5,84.2,64.7,1.17,21.87
5/27/07,0.11,66.8,73.9,81,66,0.96,15.69
5/28/07,0.13,65.9,75.1,84.4,66.8,0.13,19.99
5/29/07,0.11,65,73.5,82,66.8,0.14,15.81
5/30/07,2.49,65.4,73.4,81.4,68.3,0.02,11.38
5/31/07,0.46,61.1,72.2,83.4,64.8,0.09,13.43
6/1/07,0,61.1,74,86.9,66.7,0.21,21.93
6/2/07,0,66,76,86,66.8,0.57,21.45
6/3/07,0,66.4,75.8,85.2,67.1,0.51,19.95
6/4/07,0.57,66.5,75,83.4,67.6,0.89,15.82
6/5/07,0.17,62.3,74.7,87.2,64.2,0.72,25.45
6/6/07,0,62.4,75.5,88.6,63.8,0.12,28.84
6/7/07,0,65.4,77.2,89,67,0.37,26.09
6/8/07,0,75.4,83.8,92.2,72.9,3.54,24.65
6/9/07,0,75.1,83.8,92.4,73,2,25.61
6/10/07,0,70.4,81.4,92.3,72.8,0.11,24.51
6/11/07,0.01,68.6,80.1,91.6,70.2,0.42,26.47
6/12/07,0,69.2,81,92.7,71.1,0.18,28.28
6/13/07,0,71.8,81.4,91.1,70.5,1.84,25.69
6/14/07,0.14,69.6,80.3,90.9,69.7,1.17,25.02
6/15/07,1.03,69.5,79.8,90.1,69.1,1.4,24.08
6/16/07,1.21,67.2,77,86.7,68.9,0.4,18.11
6/17/07,1.46,68.3,74.6,80.9,68.7,0.9,9.7
6/18/07,0.1,70.1,76.3,82.6,71.4,0.81,11.88
6/19/07,0.01,73.4,82.4,91.4,73.1,1.53,24.02
6/20/07,0.01,72.9,83.4,93.8,72.4,1.86,28.73
6/21/07,0,69.5,80,90.4,71,0.81,22.33
6/22/07,0.07,69.4,79.7,90,69.9,0.91,23.5
6/23/07,0,70.8,79.5,88.2,71.3,1.07,21.18
6/24/07,0.08,67.6,76.1,84.5,67.9,1.41,15.47
6/25/07,0.05,69.2,77.9,86.6,68.7,1.56,20.86
6/26/07,0.64,69.1,78.2,87.4,71.3,0.11,17.03
6/27/07,0.34,73.7,81.2,88.6,72.8,2.38,19.63
6/28/07,0,73.2,81.2,89.2,72.5,1.51,20.53
6/29/07,0,71.9,80.6,89.4,71.2,1.31,22.14
6/30/07,0,71.5,80.7,89.9,71.8,0.63,23.59
7/1/07,0.1,72.1,81.3,90.5,73.1,0.55,21.44
7/2/07,0.71,71.6,79.1,86.6,73.1,0.51,14.83
7/3/07,0,72.5,78.5,84.5,72.7,0.62,12.91
7/4/07,0.55,72,79.2,86.5,73.1,0.59,14.92
7/5/07,0.12,72.4,76.6,80.8,72.5,0.45,9.21
7/6/07,1.99,71.4,77.6,83.8,72.9,0.31,12.31
7/7/07,0.58,69.6,76.5,83.4,72,0.71,9.96
7/8/07,0,70,80.1,90.2,72.2,0.52,22.16
7/9/07,0.08,71.5,79.5,87.6,74,0.27,15.66
7/10/07,0,75.3,83.3,91.3,74.9,0.94,22.52
7/11/07,0,72.8,82,91.3,74.3,0.3,22.59
7/12/07,0,72.8,82.4,92,73.7,0.77,23.77
7/13/07,0,72.9,82.6,92.4,73.7,0.01,25.42
7/14/07,0.92,72.8,82.5,92.3,72.7,0.82,23.52
7/15/07,0.18,70.4,77.5,84.5,70.8,0.83,15.07
7/16/07,0,70.6,79.6,88.5,72.3,0.46,19.72
7/17/07,0.01,69.6,79.7,89.8,71.6,0.06,21.3
7/18/07,0.05,69.5,79.6,89.7,71.1,0.13,22.03
7/19/07,0,70.1,80.1,90.2,72.1,0.01,23.12
7/20/07,0.07,71.8,79.9,88,72.6,0.41,16.31
7/21/07,0.75,68.8,76.8,84.9,72.6,0.01,12.65
7/22/07,0,70.3,80.9,91.4,72.9,0.05,23.66
7/23/07,0,64.5,77.1,89.8,69.5,0.24,21.08
7/24/07,0,62.8,74.3,85.9,63.4,0.88,23.47
7/25/07,0,63.4,75.4,87.4,64.7,0.16,25.19
7/26/07,0,64.1,76.9,89.7,67.5,0.82,28.06
7/27/07,0.13,71.3,79.4,87.4,72.3,0.25,17.12
7/28/07,0.14,71.3,78,84.7,72.6,0.11,13.01
7/29/07,0.07,71.9,79.1,86.2,73.8,0.03,14.42
7/30/07,0.04,73.1,81.6,90.1,74.8,0.04,19.8
7/31/07,0,73.6,82.8,91.9,74.9,0.1,23.48
8/1/07,0.33,73.7,81.7,89.7,74.9,0.04,18.25
8/2/07,1.13,72.2,78.2,84.2,73.4,0.41,9.48
8/3/07,0.01,71.6,81.3,91.1,73.8,0.16,21.49
8/4/07,0,71.5,81.9,92.3,73.4,0.03,24.39
8/5/07,0,71.7,82.1,92.4,73.3,0,25.6
8/6/07,0,72.9,82.5,92.2,74.3,0.02,23.72
8/7/07,0,73.1,83.3,93.6,74.4,0,25.93
8/8/07,0,71.6,82.6,93.6,74.2,0,25.81
8/9/07,0,71,82.1,93.2,73.4,0,25.94
8/10/07,0,72.3,83.2,94,71.5,1.43,31.65
8/11/07,0,72.3,84.4,96.5,73.1,0.34,33.08
8/12/07,0,72.1,85.6,99,74.6,0.5,37.01
8/13/07,0,71.3,85.2,99,73.6,0.14,37.99
8/14/07,0,71.6,86,100.3,71.1,0.51,45.02
8/15/07,0,71.9,86.4,100.9,71.7,0.6,45.76
8/16/07,0,74,86.4,98.8,73.6,0.45,38.35
8/17/07,0.18,74.4,84.4,94.4,75.5,0.03,25.97
8/18/07,0.25,73.8,82.2,90.6,75.4,0.21,17.18
8/19/07,0.06,74.2,82.8,91.4,75.7,0,19.93
8/20/07,0,70.6,81.7,92.7,73.5,0,25.92
8/21/07,0,70.4,81.5,92.7,71.8,0,28.19
8/22/07,0,72.4,83.2,94.1,73.6,0.38,28
8/23/07,0,72.9,83.3,93.8,74.1,0.06,28.09
8/24/07,0,71.1,83,94.8,73.5,0.01,29.15
8/25/07,0,70.8,82.4,94.1,72.5,0,28.67
8/26/07,0,70.9,82.9,95,72,0.07,31.92
8/27/07,0,71.1,83.6,96.2,71.1,1.08,35.78
8/28/07,0,70.3,83.6,96.9,70.6,0.97,37.97
8/29/07,0,69.9,80.9,92,71.6,0.73,26.01
8/30/07,0.08,71.7,81.3,91,72.4,0.5,21.77
8/31/07,0.03,70.5,80.7,90.9,71.4,0.13,24.12
9/1/07,0.3,67.3,79,90.6,70.9,0.02,22.89
9/2/07,0.03,67.3,79.4,91.5,66.4,0.93,30.89
9/3/07,0.06,71.3,79.3,87.4,70.7,0.67,17.72
9/4/07,0.46,68.8,79.1,89.5,70.8,0.3,20.84
9/5/07,0.05,69.5,79,88.5,72.6,0.24,20.13
9/6/07,0.2,74.9,80.9,86.8,75.1,0.68,13.72
9/7/07,0.07,75,83.1,91.3,74.6,0.42,21.5
9/8/07,0,73.3,82.9,92.6,73.9,0.33,24.09
9/9/07,0,72.4,82.5,92.5,73.1,0.25,25.79
9/10/07,0,71.9,82.6,93.4,73,0.42,29.87
9/11/07,0.07,71.6,82.3,93.1,72.1,0.49,29.06
9/12/07,0.05,68.4,74.5,80.5,69.7,0.67,8.63
9/13/07,0,69.1,73.4,77.8,68.2,1.01,8.04
9/14/07,0,69,78,87.1,70.2,0.44,19.94
9/15/07,0,67.6,78.9,90.2,70,0.06,24.26
9/16/07,0,62.4,75.6,88.7,64.6,1.08,25.48
9/17/07,0,60.4,74.8,89.2,61.8,0.24,28.58
9/18/07,0,60.2,76.4,92.5,61.6,0.67,34.74
9/19/07,0,62.5,77.4,92.4,67.7,0.27,31.51
9/20/07,0,62,77.2,92.5,65.8,0.25,32.27
9/21/07,0,57.6,73.4,89.2,59.6,0.46,31.66
9/22/07,0,57.5,73.9,90.4,59.2,0.67,34.16
9/23/07,0.2,59.2,75.2,91.2,63.9,1.06,34.1
9/24/07,0,65.4,77.1,88.8,69.2,0.17,24.83
9/25/07,0,66.1,78.8,91.4,69.5,0.77,29.15
9/26/07,0,69.4,79.9,90.4,71.1,0.06,24.08
9/27/07,0,68.4,79.7,91,70.4,0.09,25.23
9/28/07,0.09,65,78.5,92,67.4,0.86,26.82
9/29/07,0,59.6,74.8,89.9,59.4,0.81,33.87
9/30/07,0,59.4,75.4,91.4,63.7,0.06,32.7
10/1/07,0.72,69.6,80.6,91.7,71.5,0.13,25.25
10/2/07,0,69.6,79.9,90.3,70.5,0.42,24.67
10/3/07,0,63.7,76.3,88.8,66.4,0.73,24.57
10/4/07,0,62.2,76.4,90.5,63.8,0.86,29.84
10/5/07,0,62,76.7,91.5,67.1,0.8,27.61
10/6/07,0.14,69.8,79.3,88.7,72.2,0.71,20.93
10/7/07,0.23,70.9,79.6,88.3,72.6,0.15,18.51
10/8/07,0.01,70.4,80.4,90.3,70.6,1.24,23.24
10/9/07,0,70.4,80.3,90.2,70.4,0.46,24.35
10/10/07,0,56.3,72.8,89.3,65.6,0.52,24.05
10/11/07,0,52.7,69.1,85.4,53.7,0.13,30.17
10/12/07,0,51.7,69,86.3,52.4,1.09,30.68
10/13/07,0,49.4,66.5,83.6,49,0.83,27.77
10/14/07,0,49.6,66.6,83.7,51.8,0.58,26.31
10/15/07,0.02,53.7,69.6,85.4,61.2,0.63,24.02
10/16/07,0.68,62.3,72.5,82.6,61.7,1.15,15.28
10/17/07,0,64.1,71.8,79.5,65.2,1.45,12.68
10/18/07,0.01,71.7,79.1,86.5,71.4,1.43,14.67
10/19/07,0,48.3,68.4,88.5,56.4,1.16,29.52
10/20/07,0,46.5,64.8,83.1,44.6,0.49,31.17
10/21/07,0,46.4,66.2,86,51.4,0.7,31.87
10/22/07,0,52.8,69,85.2,61.5,0.64,22.56
10/23/07,0.86,49.1,59.6,70.2,49.1,0.84,4.84
10/24/07,0,40.5,53.3,66.1,37.2,0.61,16.19
10/25/07,0,40.2,55.9,71.5,38.4,1.29,18.76
10/26/07,0,37,52.7,68.5,35.8,0.39,18.56
10/27/07,0,36.7,53.7,70.7,39.2,0.32,18.86
10/28/07,0,41,56.5,72,45.4,0.35,16.54
10/29/07,0,43.6,58.5,73.4,45.8,0.44,17.62
10/30/07,0,42.8,58.2,73.5,42.4,0.83,20.83
10/31/07,0,42.3,59.4,76.6,47.3,0.44,19.27
11/1/07,0,45.3,62,78.8,55,0.34,17.07
11/2/07,0,50.3,65.3,80.3,55.6,0.65,21.3
11/3/07,0,51.3,65.4,79.5,53.9,0.79,20.1
11/4/07,0,47.2,62.7,78.2,51.1,0.48,19.84
11/5/07,0,47,63.8,80.6,55,0.32,20.62
11/6/07,0,54.9,67.8,80.8,57.5,0.37,18.39
11/7/07,0,41.5,54.7,67.9,29.7,2.56,18.68
11/8/07,0,40.1,50.3,60.4,33,1.63,12.96
11/9/07,0,52.2,59.6,67,48.9,1.92,10.56
11/10/07,0,57.2,69.1,81,58.5,0.67,18.84
11/11/07,0,58.9,70.7,82.6,61.7,0.59,20.9
11/12/07,0,59.9,69.4,78.8,61.5,0.64,16.6
11/13/07,0,61,70.3,79.5,62.2,0.69,15.93
11/14/07,0,61.5,71.5,81.5,63.5,0.32,17.3
11/15/07,0,49.3,66.7,84.1,48.3,2.7,23.39
11/16/07,0,30,46.6,63.2,22.9,0.44,16.59
11/17/07,0,30,48.7,67.5,33.9,0.54,18.71
11/18/07,1.07,46.6,60.3,74.1,58.1,0.11,11.52
11/19/07,0.02,55.5,62.8,70.2,58.3,0.53,7.16
11/20/07,0,58.7,67.2,75.7,60.1,0.22,12.78
11/21/07,0,63.2,70.9,78.6,63.8,0.67,14.83
11/22/07,0.2,37.3,57.9,78.5,49.5,1.39,11.96
11/23/07,0.13,36.8,45.4,54,32,0.96,8.81
11/24/07,0.24,37.4,43.7,50,31.6,1.22,6.43
11/25/07,1.93,38.9,41.4,44,37,0.64,2.05
11/26/07,0.39,39.8,42.6,45.3,39.1,0.62,1.69
11/27/07,0,35.9,42.7,49.6,37.7,0.31,4.2
11/28/07,0,33.7,47.6,61.5,37.3,0.15,10.78
11/29/07,0,34,51,68,45,0.26,12.57
11/30/07,0,44.4,56.6,68.8,45.7,0.33,12.24
12/1/07,0,51.9,60.7,69.5,52.1,1.38,10.33
12/2/07,0,51.6,62.2,72.8,59.7,0.86,11.57
12/3/07,0.03,37.6,56.9,76.2,50.1,1.77,15.96
12/4/07,0,26.1,41.4,56.6,26.2,0.25,11.63
12/5/07,0,26.1,44.5,62.8,30.8,0.29,14.47
12/6/07,0,35.6,55.7,75.8,39.4,0.84,22.12
12/7/07,0,40.8,52.1,63.4,45,1.08,10.45
12/8/07,0,60.5,69,77.5,64.2,0.93,12.42
12/9/07,0,68.6,74.7,80.8,66.2,1.39,15.53
12/10/07,0,51,65.8,80.6,59.3,0.7,14.36
12/11/07,0.02,49.8,62.6,75.4,59.2,0.34,10.99
12/12/07,0.37,58.8,69.5,80.1,63.8,0.88,14.79
12/13/07,0.6,42.9,51.7,60.6,45.9,0.38,2.57
12/14/07,0,44,51.9,59.8,45.8,0.49,6.91
12/15/07,1.37,50.7,56.5,62.4,50.2,0.68,3.42
12/16/07,0.15,29.6,43.5,57.5,33.8,0.52,6.01
12/17/07,0,25.3,38,50.7,24.7,0.24,8.81
12/18/07,0,25.3,39.3,53.3,30,0.31,9.5
12/19/07,0,46.8,58.1,69.4,52.1,0.48,10.31
12/20/07,1.39,59.6,65.4,71.2,61.2,0.43,7.94
12/21/07,0,37.5,55.9,74.2,44.4,0.35,19.95
12/22/07,0.01,36.7,54.9,73,47,0.38,18.6
12/23/07,0.06,26.5,49.7,72.9,34.4,0.67,21.47
12/24/07,0,24.5,38.3,52.1,20.5,0.48,10.34
12/25/07,0,23.2,40.8,58.3,23.9,0.31,13.16
12/26/07,0.03,25.6,42.7,59.8,27.3,0.32,13.75
12/27/07,0.75,37.1,45,53,39.9,0.14,2.48
12/28/07,0.07,40,45.9,51.8,39.8,0.17,4.8
12/29/07,0,32.3,44.4,56.4,36.3,0.11,8.88
12/30/07,0,31.1,43.2,55.4,32.5,0.18,9.32
12/31/07,0,31.2,48.4,65.5,32.6,0.15,16.57
1/1/08,0,31.6,51.3,71.1,29,0.77,18.14
1/2/08,0,27.1,40.6,54.1,16.8,1.63,11.39
1/3/08,0,20.2,32.8,45.4,12.2,0.42,8.2
1/4/08,0,20.6,31.6,42.5,17.8,0.43,6.46
1/5/08,0,30.8,46.1,61.5,44.5,0.76,8.31
1/6/08,0,59.3,66.5,73.7,60.2,0.58,11.21
1/7/08,0,64.3,70.7,77.2,60.9,1.58,15.17
1/8/08,0,66.2,71.5,76.7,63.8,1.82,12.51
1/9/08,0.09,38.5,56.4,74.2,45,0.83,12.91
1/10/08,0,37.6,50.6,63.6,43.4,0.16,11.82
1/11/08,0,31.4,49.4,67.3,36.3,0.17,17.09
1/12/08,0,30.2,46.9,63.6,30.4,0.31,15.39
1/13/08,0.16,36.1,51.4,66.8,40.1,0.29,15.88
1/14/08,0.01,29.6,45.2,60.7,34.3,0.1,11.89
1/15/08,0,29.7,46.3,62.8,32.8,0.17,14.38
1/16/08,0.21,34.7,45.3,55.9,38.9,0.13,8.8
1/17/08,0.01,38.8,44.3,49.8,44.3,0.14,1.85
1/18/08,0,34.1,41.8,49.5,27.8,0.91,7.01
1/19/08,0.31,33.3,36,38.7,30.5,0.44,3.33
1/20/08,0.05,22.3,35.5,48.7,23.9,0.28,7.32
1/21/08,0.02,23.4,36.9,50.4,20,0.67,9.35
1/22/08,0.11,34.9,43.8,52.6,37.5,0.45,6.42
1/23/08,0,35.8,45.8,55.8,42.4,0.08,1.48
1/24/08,0.15,35,40.3,45.6,34.6,0.53,4.55
1/25/08,0.07,35.5,42.7,49.8,26.1,1.18,7.97
1/26/08,0.23,33.5,36,38.6,33.3,0.08,2.23
1/27/08,0.05,36.7,41.8,47,39,0.09,1.82
1/28/08,0,35.7,48.2,60.6,38.9,0.04,10.15
1/29/08,0,40.1,53.6,67.2,53.5,0,5.89
1/30/08,0.06,27.1,52,76.8,34.4,0.52,21.66
1/31/08,0.2,27.3,41,54.8,25.1,1,11.44
2/1/08,0.25,25.9,43,60.1,30.1,0.1,14.43
2/2/08,0,25.7,41.7,57.7,27.5,0.37,12.23
2/3/08,0.01,34.9,53.8,72.8,50.6,0.41,15.54
2/4/08,0,61.4,69,76.5,64.1,0.32,10.33
2/5/08,0,67.7,72.9,78.2,63.6,2.77,14.72
2/6/08,0.24,35.5,56,76.4,53.2,1.15,9.57
2/7/08,0,29.3,42.3,55.3,28,0.34,10.28
2/8/08,0,29.3,47.8,66.4,28.2,0.46,15.94
2/9/08,0,30.4,52.5,74.6,35.1,0.82,20
2/10/08,0,34.9,54.1,73.3,32.1,1.03,20.12
2/11/08,0,36.4,55.9,75.4,35.8,0.87,23.75
2/12/08,0.03,45.5,58.3,71.2,57.7,0.62,8.94
2/13/08,0.87,29.4,46.1,62.9,37.7,0.15,7.07
2/14/08,0,28.7,42.6,56.4,28,0.87,10.73
2/15/08,0,37.7,54.1,70.4,46.9,0.96,14.63
2/16/08,1.53,57.6,64.2,70.8,59.6,0.28,7.32
2/17/08,2.23,48.3,59.1,69.9,54.7,0.34,3.87
2/18/08,0,39,52.3,65.6,40.6,0.58,11.71
2/19/08,0,31.8,46.5,61.1,29,0.43,14.52
2/20/08,0,30.9,48.6,66.3,33.3,0.42,17.17
2/21/08,0.76,51.3,59.1,66.8,56.5,0.23,6.1
2/22/08,0.36,44.6,57.3,70.1,55.4,0.07,3.99
2/23/08,0,32.8,41.2,49.6,36.6,0.27,3.23
2/24/08,0,33.6,49.9,66.1,44,0.07,12.73
2/25/08,0,41.7,56.2,70.7,46.3,0.4,15.3
2/26/08,0,43.4,60.4,77.4,52.1,0.23,14.52
2/27/08,0,27.1,42.3,57.6,25.7,0.71,10.94
2/28/08,0,26.4,43.4,60.4,25.6,0.56,14.22
2/29/08,0,34.9,52.6,70.4,44,0.72,17.4
3/1/08,0.09,51.5,64,76.4,55.1,0.04,15.89
3/2/08,0,51.5,65.4,79.2,56.6,0,19.65
3/3/08,0.12,59.6,67,74.3,60.9,0.89,11.4
3/4/08,0.62,35.9,53.2,70.5,43,0.62,6.54
3/5/08,0,32.3,45.2,58.1,28.7,0.65,12.72
3/6/08,0,37.5,54.9,72.3,39,0.86,19.99
3/7/08,0.84,38.5,54,69.4,43.1,0.41,13.35
3/8/08,0.1,30.5,38.5,46.5,31.2,0.33,5.09
3/9/08,0,28.2,42.4,56.5,24.2,0.72,12.5
3/10/08,0.03,33.5,52.9,72.3,43.2,0.48,17.56
