species,origin,plot,pos,id,birth_year,observation_year,distance_A,distance_B,survival,size_tillers,flowering_tillers,spikelets_A,spikelets_B,spikelets_C,notes,ATTN during fieldwork,
AGPE,R,112,K1,K1,2022,2023,2.089,3.150,0,,,,,,wrong species,,
AGPE,R,113,G1,113_G1,2019,2023,1.96,2.113,0,,,,,,,,
AGPE,R,113,I2,113_I2,2020,2023,0.881,2.043,0,,,,,,,,
AGPE,R,113,J4,113_J4,2021,2023,2.074,2.137,0,,,,,,,,
AGPE,R,113,J5,113_J5,2021,2023,2.029,2.197,0,,,,,,,,
AGPE,R,113,J8,113_J8,2021,2023,1.845,1.103,0,,,,,,,,
AGPE,R,113,J9,113_J9,2021,2023,1.813,1.018,0,,,,,,,,
AGPE,R,113,J10,113_J10,2021,2023,1.135,1.888,0,,,,,,,,
AGPE,R,114,I1,114_I1,2020,2023,1.364,1.404,,,,,,,"2022 TNF, 2023 TNF",,
AGPE,R,114,I2,114_I2,2020,2023,1.701,1.561,0,,,,,,,,
AGPE,O21,114,8,114_orig21-8,2021,2023,1.949,1.087,0,,,,,,,,how are there 3 spikelet counts if there is one inf?
AGPE,R,114,J1,114_J1,2021,2023,2.866,2.028,0,,,,,,,,
AGPE,R,114,J2,114_J2,2021,2023,2.584,1.651,,,,,,,"2022 TNF, 2023 TNF",,
AGPE,O22,114,4,114_orig22-4,2021,2023,,,,,,,,,"2022 TNF, 2023 TNF",,
AGPE,R,114,K1,K1,2022,2023,2.261,1.037,1,3,0,,,,,,
AGPE,O21,115,2,115_orig21-2,2021,2023,1.903,0.667,0,,,,,,2022 TNF,,
AGPE,O21,115,3,115_orig21-3,2021,2023,1.973,0.707,0,,,,,,2022 TNF,,
AGPE,O21,115,5,115_orig21-5,2021,2023,1.563,2.203,0,,,,,,2022 TNF,,
AGPE,O21,115,6,115_orig21-6,2021,2023,1.576,2.29,0,,,,,,2022 TNF,,
AGPE,R,115,J2,115_J2,2021,2023,2.250,1.387,0,,,,,,no data / TNF,,
AGPE,O22,115,3,115_orig22-3,2022,2023,,,,,,,,,"no data / TNF, 2023 TNF",,
AGPE,R,115,K1,K1,2022,2023,1.635,1.084,0,,,,,,,,
AGPE,R,115,K2,K2,2022,2023,0.693,1.977,0,,,,,,wrong species ,,
AGPE,O21,116,1,116_orig21-1,2021,2023,1.514,1.116,0,,,,,,"was given ""1?"" with no size data - check in 2023",,
AGPE,O21,116,3,116_orig21-3,2021,2023,1.784,2.243,,,,,,,"no data / TNF, 2023 TNF",,
AGPE,O21,117,2,117_orig21-2,2021,2023,1.985,0.999,0,,,,,,,,
AGPE,O21,117,3,117_orig21-3,2021,2023,1.902,1.068,0,,,,,,,,
AGPE,O22,117,1,117_orig22-1,2022,2023,,,0,,,,,,no size/flowering data recorded,,
AGPE,O22,117,2,117_orig22-2,2022,2023,,,0,,,,,,,,
AGPE,O22,117,3,117_orig22-3,2022,2023,,,0,,,,,,,,
AGPE,O22,117,4,117_orig22-4,2022,2023,,,0,,,,,,,,
AGPE,R,117,K1,K1,2022,2023,1.288,1.569,1,26,0,,,,,,
AGPE,R,117,K2,K2,2022,2023,1.122,1.803,1,13,,,,,,,
AGPE,R,117,K3,K3,2022,2023,0.484,2.304,0,,,,,,,,
AGPE,O22,118,1,118_orig22-1,2022,2023,0.758,2.189,0,,,,,,no size/flowering data recorded,,
AGPE,O22,118,3,118_orig22-3,2022,2023,2.441,1.772,0,,,,,,no size/flowering data recorded,,
AGPE,R,118,K1,K1,2022,2023,0.444,2.120,0,,,,,,,,
AGPE,O22,119,2,119_orig22-2,2022,2023,,,,,,,,,"no data / TNF Found nail w/o tag? (dead plant), 2023 TNF",,
AGPE,R,119,K1,K1,2022,2023,1.796,2.182,1,4,0,,,,,,
AGPE,R,120,5,120_5,2014,2023,,,0,,,,,,no size/flowering data recorded,,
AGPE,R,120,6,120_6,2014,2023,,,0,,,,,,no size/flowering data recorded,,
AGPE,O21,120,3,120_orig21-3,2021,2023,2.605,1.698,0,,,,,,no size/flowering data recorded,,
AGPE,O21,120,5,120_orig21-5,2021,2023,2.045,0.804,0,,,,,,no size/flowering data recorded,,
AGPE,O21,120,7,120_orig21-7,2021,2023,1.552,1.665,0,,,,,,no size/flowering data recorded,,
AGPE,R,120,J1,120_J1,2021,2023,2.204,1.959,0,,,,,,no size/flowering data recorded,,
AGPE,O22,120,2,120_orig22-2,2022,2023,1.730,1.079,0,,,,,,no size/flowering data recorded,,
AGPE,O22,120,3,120_orig22-3,2022,2023,1.625,2.070,0,,,,,,no size/flowering data recorded,,
AGPE,O22,120,4,120_orig22-4,2022,2023,1.678,2.038,0,,,,,,no size/flowering data recorded,,
AGPE,R,120,K1,K1,2022,2023,2.441,1.725,1,23,0,,,,,,
AGPE,R,120,K2,K2,2022,2023,2.428,1.941,1,28,0,,,,,,
